INFO  - 2014-10-22 15:32:03.033; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108558502660598606_1413984719926&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984719934} hits=11 status=0 QTime=6 
INFO  - 2014-10-22 15:32:05.010; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108558502660598606_1413984719926&fq=ingredientname:eis&wt=json&_=1413984719935} hits=0 status=0 QTime=1 
INFO  - 2014-10-22 15:32:05.025; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108558502660598606_1413984719926&json.nl=map&facet.mincount=1&fq=ingredientname:eis&rows=0&facet=true&wt=json&_=1413984719936} hits=3 status=0 QTime=2 
INFO  - 2014-10-22 15:33:23.164; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.field=userRating&json.wrf=jQuery211015540136373601854_1413984803059&json.nl=map&sort=userRating+desc&facet.mincount=1&rows=20&facet=true&wt=json&_=1413984803060} hits=139942 status=0 QTime=4 
INFO  - 2014-10-22 15:33:23.166; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.limit=20&json.wrf=jQuery211015540136373601854_1413984803061&json.nl=map&facet.mincount=1&rows=10&facet=true&wt=json&_=1413984803062} hits=139942 status=0 QTime=0 
INFO  - 2014-10-22 15:33:23.511; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=300&q=*:*&facet.field=titleStop&facet.field=ingredientname&json.wrf=jQuery211015540136373601854_1413984803061&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984803063} hits=139942 status=0 QTime=27 
INFO  - 2014-10-22 15:33:27.456; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery211015540136373601854_1413984803061&wt=json&_=1413984803064} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:33:27.499; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery211015540136373601854_1413984803059&wt=json&_=1413984803065} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:33:27.609; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery211015540136373601854_1413984803061&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984803066} hits=11 status=0 QTime=7 
INFO  - 2014-10-22 15:33:27.609; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery211015540136373601854_1413984803059&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984803067} hits=11 status=0 QTime=7 
INFO  - 2014-10-22 15:33:29.608; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery211015540136373601854_1413984803059&fq=ingredientname:ei&wt=json&_=1413984803068} hits=0 status=0 QTime=1 
INFO  - 2014-10-22 15:33:29.624; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery211015540136373601854_1413984803059&json.nl=map&facet.mincount=1&fq=ingredientname:ei&rows=0&facet=true&wt=json&_=1413984803069} hits=3 status=0 QTime=2 
INFO  - 2014-10-22 15:35:43.858; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.limit=20&json.wrf=jQuery211048987702326849103_1413984943744&json.nl=map&facet.mincount=1&rows=10&facet=true&wt=json&_=1413984943745} hits=139942 status=0 QTime=0 
INFO  - 2014-10-22 15:35:43.863; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.field=userRating&json.wrf=jQuery211048987702326849103_1413984943742&json.nl=map&sort=userRating+desc&facet.mincount=1&rows=20&facet=true&wt=json&_=1413984943743} hits=139942 status=0 QTime=5 
INFO  - 2014-10-22 15:35:44.212; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=300&q=*:*&facet.field=titleStop&facet.field=ingredientname&json.wrf=jQuery211048987702326849103_1413984943744&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984943746} hits=139942 status=0 QTime=26 
INFO  - 2014-10-22 15:35:46.780; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery211048987702326849103_1413984943744&wt=json&_=1413984943747} hits=0 status=0 QTime=1 
INFO  - 2014-10-22 15:35:46.781; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery211048987702326849103_1413984943742&wt=json&_=1413984943748} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:35:46.839; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery211048987702326849103_1413984943744&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984943749} hits=11 status=0 QTime=7 
INFO  - 2014-10-22 15:35:46.843; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery211048987702326849103_1413984943742&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984943750} hits=11 status=0 QTime=6 
INFO  - 2014-10-22 15:35:49.237; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery211048987702326849103_1413984943742&fq=ingredientname:ei&wt=json&_=1413984943751} hits=0 status=0 QTime=1 
INFO  - 2014-10-22 15:35:49.270; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery211048987702326849103_1413984943742&json.nl=map&facet.mincount=1&fq=ingredientname:ei&rows=0&facet=true&wt=json&_=1413984943752} hits=3 status=0 QTime=2 
INFO  - 2014-10-22 15:39:09.556; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.field=userRating&json.wrf=jQuery211010902489721775055_1413985149463&json.nl=map&sort=userRating+desc&facet.mincount=1&rows=20&facet=true&wt=json&_=1413985149464} hits=139942 status=0 QTime=3 
INFO  - 2014-10-22 15:39:09.575; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.limit=20&json.wrf=jQuery211010902489721775055_1413985149465&json.nl=map&facet.mincount=1&rows=10&facet=true&wt=json&_=1413985149466} hits=139942 status=0 QTime=0 
